Geneid	KQGRcry	MGGQcry	PL4mw	PL4snow	QTsnow1	QTsnow2	Qycry	QYice	QYmw	TGLcry	TGLmw
g672	0	229.409225	0	1.357396	1.429546	0	1.823907	31.566968	2771.30197	69.209586	0.991931
g673	3.503945	0	0	112.154099	0	0	59.097787	98.119831	2096.19974	0	3.615785
g674	6.907346	25.15106	529.661789	32.946746	10.957258	12.872297	67.569883	130.590622	4711.92741	18.61337	38.015023
g675	0	0	0	0	0	0	0	32.999403	2245.78245	0	0
g676	394.671403	2108.00436	193.975763	387.078695	958.740215	3837.31897	3695.35212	1422.10665	8944.50583	293.524979	199.923948
g677	14.666771	37.31696	877.124146	47.339832	4.985611	19.186608	53.71481	157.13614	5827.83042	27.524847	61.26035
g678	14.347313	1254.22192	6.85319	229.614054	0	0	160.313617	396.284562	2167.08201	3622.54934	4.935085
g679	7.575799	152.917034	7.237368	14.263871	0	392.504829	43.123716	65.571361	1667.22225	212.652752	54.071771
g680	0	0	0	0	0	0	0	1.371595	2849.34009	0	0
g681	0	0	17.663259	0	0	0	0	55.304868	2245.4773	0	0
g682	0	8.475016	215.931793	0	0	0	4.012867	53.906066	2617.15442	5.342854	0
g683	0	52.243952	0.760812	1.499458	0	0	1.678994	24.328388	2680.96269	36.214527	0
g684	34.531662	46.592212	2900.03666	59.106301	0	187.609403	238.260082	260.524912	5014.26684	10.574227	371.455945
g685	13075.7819	8962.68259	27.41276	415.331304	21.336959	20.744355	1512.39262	383.501189	1980.7236	25599.4829	14.805255
g686	0	0	0	0	0	0	0	0	2669.8538	0	0
g687	0	1074.73776	0	123.905836	9.157325	0	72.048281	420.291706	1871.54784	190.558284	0.794259
g688	0	0	20.995593	0	0	0	0	24.244035	2164.10402	0	0
g689	0	0	0	0	0	0	0	0	2266.2635	0	0
g690	0	0	0	0	0	0	0	0	2857.52812	0	0
g691	0	0	6.562293	6.466695	0	0	0	38.470953	2289.23367	0	0
g692	23.071882	116.218598	2259.55694	67.134883	8.31804	62.000475	38.32361	239.029745	2349.19975	53.380245	127.939539
g693	316.270685	1043.85689	279.51466	474.810856	524.913063	4187.42753	2235.91788	2496.96583	8413.64912	270.633628	290.422178
g694	20133.7902	24497.7465	14.216083	728.467322	22.130423	43.031562	2142.75459	496.256144	3114.7072	35271.0632	19.194778
g695	0	541.594771	0	301.653582	14.950003	0	0	899.201497	1026.87365	651.829285	9.076798
g696	0	164.87589	0	48.021315	0	0	129.050678	64.206562	936.015282	3.18189	0.97478
g697	0	0	0	0	0	0	787.060508	0	0	0	0
g698	0	0	0	4.696122	0	0	1256.75987	0	3.702549	0	0
g699	0	0	0	0	0	0	901.25935	0	8.753025	0	0
g700	0	0	0	0	0	0	997.740268	0	5.314133	0	0
g701	0	0	0	0.296673	0	0	1282.53755	0.160448	6.78324	1.415342	0
g702	0	0	0	0	0	0	2168.62194	0	7.870974	0	0
g703	0	0	12.101555	0	0	0	3485.1659	1.612374	30.557139	0	0
g704	0	0	0	0	0	0	848.391644	0	9.333892	0	0
g705	0	0	0	0	0	0	626.771361	0	8.569358	0	0
g706	0	0	0	0	0	0	1036.42983	0	18.808517	0	0
g707	0	0	0	0	0	0	2287.37405	0	29.973661	0	0
g708	7.020024	4.16761	0	0	0	0	981.241929	16.083773	125.051872	114.290244	0
g709	0	26.838984	0	0	0	0	3147.85153	0	6.100919	0	0
g710	22.4951	0	0	0	0	0	986.450392	0	83.48305	0	0
g711	37.110464	75.536718	334.267765	119.781177	21.024663	40.881465	3126.1859	411.628128	999.476158	11.905042	35.559613
g712	0	31.641625	0	0	0	0	11885.0937	1.938291	33.90813	4.274495	0
g713	0	0	0	0	0	0	1479.91063	4.550869	8.845789	0	0
g714	304.608488	356.75592	23.755169	89.734921	69.851267	5077.3643	2670.1275	352.377352	1939.45688	381.567248	155.383619
g715	0	0	0	0	0	0	1190.41156	0	16.057318	0	0
g716	0	0	0	0	0	0	2330.81473	0	31.122101	2.615523	0
g717	0	0	0	0	0	0	1709.16507	0	5.287594	0	0
g718	0	3.847807	0	0	0	0	825.326331	0	0	0	0
g719	0	0	0	5.568847	0	0	1633.73477	0	8.781256	0	0
g720	0	0	0	0	0	0	1396.0355	0	0	0	0
g721	0	23.348122	0	0	0	0	6709.57816	3.337252	71.354928	1.226602	0
g722	0	0	0	0	0	0	1032.49417	0	0	0	0
g723	0	0	0	0	0	0	761.010411	0	0	0	0
g724	134.032217	65.289463	19.699176	42.059774	0	733.76406	3451.75795	106.736088	1056.05202	46.305056	8.274975
g725	0	0	0	0	0	0	2279.89945	0	3.59454	0	0
g726	0	0	0	0	0	0	1068.14932	0	0	0	0
g727	0	0	0	0	0	0	1052.793	0	0	0	0
g728	0	0	0	0	0	0	1351.22672	0	8.925189	3.375356	0
g729	0	0	0	2.949305	0	0	2256.22603	0	13.951869	0	0
g730	0	0	0	0	0	0	1342.97209	0	0	0	0
g731	0	0	0	0	0	0	4112.03222	0	36.396759	3.44116	0
g732	0	0	0	0	0	0	1195.02846	0	4.014518	0	0
g733	3.784178	0	0	0	0	0	654.198221	1.926675	289.300457	0	0
g734	0	0	0	2.090264	0	0	1079.45712	0	1.64802	0	0
g735	3.020576	0	0	0	0	0	1951.20306	0	0	3.391504	0
g736	0	15.228501	0	0	0	0	7147.14587	1.306007	26.654899	0	0
g737	0	0	0	0	0	0	2523.07283	0	43.415074	4.37836	0
g738	0	0	0	0	0	0	1108.28884	0	2.373381	0	0
g739	0.286809	0	0	0	0	0	1992.74628	0	2.554554	0	0
g740	0	0	0	2.181765	0	0	2363.84464	0	1.720162	0	0
g741	0	0	0	0	0	0	6703.53639	0	2.543701	1.92397	0
g742	0	0	0	7.190632	0	0	1558.78925	9.722208	0	0	0
g743	0	39.719153	0	0	0	0	1478.46845	1.548337	277.635028	0	0
g744	13.472966	22.853025	0	10.871649	0	0	6610.13372	1.959891	147.144073	19.449581	0
g745	0.533685	0.158418	0.254922	0.251208	0	0	3330.03751	0.06793	1.188356	1.198443	0
g746	0	0	0	0	0	0	957.655364	0	3.526694	0	0
g747	13.428824	60.235556	0	5.618682	0	0	1155.10681	7.216987	112.962952	34.344083	0
g748	0	0	0	0	0	0	1635.4486	0	23.694471	0	0
g749	0	0	0	0	0	0	890.209501	0	8.803566	0	0
g750	0	0	0	0	0	0	1493.8583	0	0.766993	0	0
g751	0	0	0	3.353411	0	0	1488.45422	0	5.287839	0	0
g752	0	0	0	0	0	0	1134.23046	1.223923	39.253673	0	0
g753	0.230321	0.136736	0.440063	0.433652	0	0	960.468299	0	5.983306	0.775812	0
g754	0	114.574439	0	0	0	0	2287.02755	1.142556	163.232719	0	0
g755	0	0	0	0	0	0	770.088232	1.58411	23.093448	0	0
g756	0.90503	1.074587	0	0	0	0	6319.4208	0.460787	5.373946	0	0
g757	0	0	0	0	0	0	3030.92592	0	28.139954	4.256823	0
g758	0.818101	0	0	0	0	11.828675	3240.4944	1.457846	21.859973	3.674255	0
g759	0	0	0	0	0	0	2663.38414	0	1.552691	0	0
g760	0	0	0	0	0	0	5279.96962	0	5.122957	0.968708	0
g761	1.979308	981.179458	18.908874	106.21046	3.924769	0	1240.18433	189.455907	1184.10132	128.897358	0.680828
g762	0	0	0	0	0	0	929.916276	0	0	0	0
g763	0	0	0	0	0	0	5739.02533	1.687726	4.920799	3.721926	0
g764	0	0	0	0	0	0	1316.00192	0.54814	7.990882	0	0
g765	0	0	0	6.71894	0	0	3101.15707	0	42.379141	0	0
g766	6.328102	4.508201	19.345309	0	0	0	3119.72465	0	18.78771	2.842078	0.435339
g767	897.451916	804.2563	58.678656	382.279835	87.96289	16.446124	1486.31118	206.747019	742.101717	480.841277	17.019528
g768	0	0	0	0	0	0	589.063482	0	0	0	0
g769	0	5.966624	0	14.192222	0	0	1100.75248	1.279255	63.407325	0	0
g770	0	2.985259	0	0	0	0	1387.70508	0	0	0	0
g771	0	0	0	0	0	0	628.968926	11.382602	91.265738	0	0
g772	0	0	6.748859	0	0	0	1607.02839	1.798395	26.217332	0	0
g773	0	0	0	0	0	0	1115.86382	0	0	0	0
g774	0	0	0	0	0	0	961.833814	0	0	0	0
g775	0	0	0	0	0	0	1129.89529	0	15.299641	0	0
g776	0	0	0	0	0	0	2627.4535	1.310458	21.014513	2.88994	0
g777	0	0	0	0	0	0	1041.25151	3.473201	156.96223	0	0
g778	249.091276	4.789609	0	140.508393	0	0	1912.64777	135.037431	979.060847	73.599946	0.69377
g779	3.168685	0	0	5.966065	0	0	3376.27822	3.226605	89.372308	0	0
g780	207.28753	0	63.879822	4765.25724	311.587512	12.890792	1839.69565	5554.37777	6749.79784	90.093883	784.888948
g781	0	108.496295	0	0	0	0	3987.77567	0	28.259568	0	0
g782	0	0	29.516106	0	0	0	2062.25203	3.146108	142.18013	0	0
g783	0	0	0	0	0	0	954.252402	0	62.6001	0	0
g784	0	0	0	0	0	0	1636.79367	0.749491	37.14917	4.958538	0
g785	0	0	0	0	0	0	501.036971	0	34.684401	0	0
g786	756.626784	95.282761	7.301275	280.601579	7.577348	0	3232.22386	273.356685	1230.96761	227.402359	0
g787	0	0	0	0	0	0	1047.24387	0	10.972989	0	0
g788	6.945962	319.582244	0	0	0	3.347654	1301.84165	10.609393	97.954951	128.682336	0
g789	0	0	0	0	0	0	2611.69808	1.551584	22.619282	1.710846	0
g790	0	0	0	0	0	0	1230.28103	0	0	0	0
g791	0	0	0	0	0	0	2030.57789	0	2.67047	4.039707	0
g792	0	0	0	0	0	0	1418.70994	0	9.44179	0	0
g793	0	14.626959	0	0	0	0	988.221233	3.136046	134.867693	0	0
g794	0	0	0	0	0	0	749.075981	0	5.263862	0.995352	0
g795	0	0	0	0	0	0	1018.83628	0	0	0	0
g796	0	4.728008	0	1.499473	0	0	6379.90833	0	3.546675	1.78839	0
g797	0	0	0	0	0	0	1837.23399	1.226334	5.363318	2.704422	0
g798	44.322781	207.807701	26.057086	92.011018	31.549402	84.351194	1260.29475	359.327827	344.162014	30.625008	335.799181
g799	0	0	0	0	0	0	1237.82504	0	0	2.565103	0
g800	3.269833	0	0	0	0	3.151836	1381.48842	0	9.707914	0	0
g801	0	0	0	0	0	0	1510.21916	0	0	8.5473	0
g802	0	0	0	0	0	0	731.2192	0.660882	1.926893	0	0
g803	0	0	0	0	0	0	1321.47907	0	42.209238	0	0
g804	0	0	0	0	0	0	1403.11611	0	0	1.206817	0
g805	0	0	0	0	0	0	1059.35238	0	0	0	0
g806	0	47.382278	0	0	0	0	6071.09726	11.721743	414.673069	3.446646	2.639722
g807	0	0	0	0	0	2.966005	1407.72374	1.566645	22.838842	0	1.058419
g808	0	4.538625	0	0	0	0	1619.81662	0	5.674351	0	0
g809	124.384074	500.939524	6.423109	1522.25398	33.32988	58.327541	1329.59653	2373.12044	3385.97132	883.245605	336.496161
g810	0	4.364496	0	0	0	0	2552.71984	1.871511	103.676313	0	0
g811	0	0	0	0	0	0	1026.9743	0	0	0	0
g812	23187.6914	16979.8242	23.894652	476.817859	6.199536	54.246176	2304.37907	355.772923	2053.72437	21252.1808	9.67888
g813	0	0	0	0	0	0	1624.00719	0	11.232762	0	0
g814	0	0	0	0	0	0	459.106154	0	5.691296	0	0
g815	14.580867	4.328146	0	13.72658	0	337.312709	1417.12534	14.847393	313.849704	36.835659	0
g816	0	0	0	0	0	0	863.362236	0	0	0	0
g817	0	0	0	0	0	0	2981.28048	2.808004	85.964769	0	0
g818	0	0	0	0	0	0	3347.60103	0	29.136109	0	0
g819	1.276992	0	2.439891	0	0	0	1179.19689	0	0	1.433807	0
g820	0	1.184316	0	0	0	0	6457.50413	0	8.884046	0	0
g821	0	0	0	0	0	0	969.45153	0	19.814506	3.746757	0
g822	0	5.704514	3.059857	0	0	0	1248.56104	0.815372	397.013913	0	0
g823	0	45.000791	0	5.489177	0	0	6048.07765	0	54.097682	6.546827	0
g824	2.8653	6.804224	0	16.184538	0	799.570486	1565.77393	10.211863	63.80162	6.43432	0
g825	0	0	0	0	0	0	1923.83097	0	10.776507	0	0
g826	0	0	0	0	0	0	2326.08605	0	53.750108	0	0
g827	0	5.364992	0	0	0	0	6278.64348	0	10.061255	0	0
g828	0	0	0	15.915763	0	0	3242.90558	0	16.731219	3.163733	0
g829	0	0	0	0	0	0	678.429902	0	0.799625	0	0
g830	0	0	0	0	0	0	2859.98793	0	42.425	0	0
g831	0	0	0	0	0	0	1128.74806	0	0	3.427252	0
g832	0	0	0	0	0	0	2138.80081	0	9.779035	0	0
g833	0	0	0	0	0	0	1366.25712	0	0	0	0
g834	135.267326	48.616952	0	16.520052	0	532.820694	1845.49075	155.981127	334.304532	249.572848	17.856799
g835	0	0	0	2.174764	0	0	1958.35445	0	37.722138	0	0
g836	0	0	0	0	0	0	2796.96531	0	0	0	0
g837	0	0	0	0	0	0	8426.86555	0.343367	11.012473	1.514448	0
g838	0	0	0	4.138892	0	42.378266	1014.01967	2.238422	35.895345	4.936369	24.196309
g839	0	0	0	0	0	0	1027.68694	0	0	0	0
g840	0	0	0	0	0	0	1092.09669	0	261.491923	0	0
g841	0	0	0	0	0	0	1127.4459	0	0	0	0
g842	0	0	0	0	0	0	973.947492	0	0	0	0
g843	0	0	0	11.22128	0	0	4267.02393	0	84.048	0	0
g844	15.309693	181.779542	29.251537	136.92069	15.178791	0	493.83504	83.793784	244.312293	8.594865	0
g845	0	6.509314	0	0	0	0	1370.77256	0	52.898147	0	0
g846	0	0	0	0	0	0	842.564407	0	5.027678	0	0
g847	0	0	0	0	0	0	1688.91395	0	14.134675	3.563664	0
g848	0	5.575841	0	0	0	0	2010.45556	0.79698	4.64741	0	0
g849	0	0	0	0	0	0	2121.25411	0	13.178969	0	0
g850	12.664319	1776.24221	0	17.883482	0	0	1447.1219	78.18086	773.139969	227.512049	0
g851	0	0	0	5.6588	0	0	1187.43249	0	17.846198	0	0
g852	0	0	0	0	0	0	2947.69356	0	9.533893	0	0
g853	0	0	0	0	0	0	1193.57726	0	2.721571	0	0
g854	0	0	0	48.71151	0	0	2984.33334	0	0	0	0
g855	0	0	0	0	0	0	1234.87437	0	1.92197	0	0
g856	0	0	0	0	0	0	6568.89093	0	0	0	0
g857	0	0	0	0	0	0	810.325903	0	5.906483	0	0
g858	0	0	0	0	0	0	1270.18043	0	4.542967	0	0
g859	6.683214	7.935309	12.769314	6.291647	0	528.24733	1549.89408	20.416131	243.06465	11.255873	1.149422
g860	0	26.485883	0	0	0	0	7566.86476	10.647412	486.355903	6.261502	0.959114
g861	0	0	0	0	0	0	912.172705	0	4.60085	0	0
g862	0	1.870702	0	0	0	0	1878.70913	0	9.355274	0	0.541939
g863	0	0	0	0	0	0	759.433266	0	0	0	0
g864	0	13.019291	0	0	0	0	5221.81587	1.595062	193.000851	5.276362	0
g865	0	0	0	0	0	0	1080.58338	5.157279	15.036756	0	0
g866	0	0	0	0	0	0	636.185154	0	0	0	0
g867	0	0	0	0	0	0	1289.97359	0	0	4.209585	0
g868	0	0	0	0	0	0	3117.51075	0.413166	1.204643	1.822303	0
g869	0	0	0	0	0	0	1249.44233	1.617028	9.429333	0	0
g870	0	5.282263	12.750139	4.188133	0	0	2681.51115	0	6.604073	0	0
g871	5.206889	0	0	0	0	0	1253.62729	0	0	0	0
g872	0	3.409468	0	0	0	0	1310.05426	0	17.05055	0	0
g873	0	0	0	0	0	0	1403.90503	1.137717	0	0	0
g874	0	0	0	6.035582	0	0	2559.34883	1.632101	23.793075	3.599256	0.551321
g875	0	0	3.148082	0	0	0	3040.49772	0	2.445874	2.774966	0
g876	0	0	0	3.884798	0	0	1822.62553	1.050501	45.943182	6.949975	0.709714
g877	0	0	0	0	0	0	1302.13114	0	13.317791	0	0
g878	0	0	0	0	0	0	822.597657	0	2.925288	0	0
g879	0	0	0	0	0	0	2498.11509	0	12.271895	0	0
g880	0	0	0	0	0	0	1775.49432	0	20.240047	2.551482	0
g881	0	0	0	0	0	0	1348.25432	0	0	0	0
g882	1.111394	0	0	0	0	0	4098.09346	1.131709	1.649827	0	0
g883	0	2.776467	0	0	0	0	2613.83223	0	3.471238	7.876583	0
g884	0	0	0	0	0	0	3427.24859	1.329381	50.387896	0	0
g885	0	0	0	0	0	0	637.066232	0	0	0	0
g886	0	85.710265	49.03927	42.284269	0	0	1061.9289	26.135369	409.581775	7.204509	1.10356
g887	0	0	0	0	0	0	2066.5898	0	9.539726	0	0
g888	5.29348	565.668903	0	4.983337	0	2.551229	1095.91469	12.128041	115.905399	194.650335	0
g889	55.743328	33.093402	0	12.347611	0	0	1242.2701	34.224309	87.616691	0	0
g890	1598.70362	740.199642	122.86541	1748.86889	106.259282	49.932238	1926.63501	2442.7993	1360.29362	758.122348	339.162692
g891	0	0	0	28.356979	0	0	2511.3614	0	19.777703	2.601598	0
g892	0	0	0	3.961407	0	0	974.972088	0	3.12328	0	0
g893	0	0	0	0	0	0	669.05657	1.622245	0	0	0
g894	0	0	0	0	0	0	1278.66654	0	5.063746	0	0
g895	0	0	0	17.33901	0	0	3391.16828	1.562899	41.011622	0	0
g896	9.14761	61.289381	117.351782	18.453548	2.591256	54.164681	2053.08275	35.928595	341.42291	27.878269	57.761282
g897	0	0	0	0	0	0	1752.8938	0	12.639496	2.390022	0
g898	0	0	0	0	0	0	1127.45311	0	4.17822	0	0
g899	0	0	0	0	0	0	952.41921	0	0	0	0
g900	0	0	0	2.765575	0	0	3013.71737	0.373924	4.360907	0.824611	0
g901	0	0	14.653436	0	0	0	860.187004	0	17.077287	0	0
g902	0	0	0	0	0	0	1454.30704	1.1228	6.547353	4.952197	0
g903	0	0	0	0	0	0	1285.20522	0	0	0	0
g904	0	0	0	0	0	0	1387.07306	0	0	0	0
