seqID	length
seq1566	4785
seq1567	4773
seq1568	4720
seq1569	4784
seq1570	4814
seq1571	4764
seq1572	4784
seq1573	4770
seq1574	4802
seq1575	4711
seq1576	4782
seq1577	4834
seq1578	4728
seq1579	4764
seq1580	4799
seq1581	4777
seq1582	4777
seq1583	4774
seq1584	4712
seq1585	4801
seq1586	4814
seq1587	4776
seq1588	4762
seq1589	4772
seq1590	4839
seq1591	4687
seq1592	4793
seq1593	4788
seq1594	4740
seq1595	4769
seq1596	4799
seq1597	4768
seq1598	4778
seq1599	4830
seq1600	4811
seq1601	4762
seq1602	4778
seq1603	4778
seq1604	4749
seq1605	4735
seq1606	4738
seq1607	4787
seq1608	4762
seq1609	4771
seq1610	4739
seq1611	4758
seq1612	4789
seq1613	4748
seq1614	4688
seq1615	4758
seq1616	4769
seq1617	4753
seq1618	4727
seq1619	4837
seq1620	4760
seq1621	4769
seq1622	4783
seq1623	4755
seq1624	4773
seq1625	4763
seq1626	4744
seq1627	4757
seq1628	4700
seq1629	4770
seq1630	4805
seq1631	4694
seq1632	4670
seq1633	4748
seq1634	4773
seq1635	4752
seq1636	4750
seq1637	4760
seq1638	4758
seq1639	4753
seq1640	4719
seq1641	4893
seq1642	4746
seq1643	4679
seq1644	4742
seq1645	4762
seq1646	4730
seq1647	4965
seq1648	4743
seq1649	4676
seq1650	4657
seq1651	4743
seq1652	4753
seq1653	4681
seq1654	4734
seq1655	4684
seq1656	4698
seq1657	4673
seq1658	4713
seq1659	4761
seq1660	4729
seq1661	4728
seq1662	4785
seq1663	4673
seq1664	4700
seq1665	4736
seq1666	4729
seq1667	4739
seq1668	4698
seq1669	4771
seq1670	4719
seq1671	4688
seq1672	4711
seq1673	4732
seq1674	4721
seq1675	4724
seq1676	4675
seq1677	4693
seq1678	4779
seq1679	4730
seq1680	4710
seq1681	4714
seq1682	4736
seq1683	4735
seq1684	4754
seq1685	4738
seq1686	4579
seq1687	4712
seq1688	4715
seq1689	4739
seq1690	4888
seq1691	4723
seq1692	4750
seq1693	4715
seq1694	4733
seq1695	4727
seq1696	4637
seq1697	4733
seq1698	4748
seq1699	4714
seq1700	4789
seq1701	4724
seq1702	4707
seq1703	4704
seq1704	4715
seq1705	4712
seq1706	4661
seq1707	4708
seq1708	4711
seq1709	4725
seq1710	4705
seq1711	4710
seq1712	4576
seq1713	4690
seq1714	4706
seq1715	4703
seq1716	4703
seq1717	4617
seq1718	4774
seq1719	4763
seq1720	4688
seq1721	4702
seq1722	4688
seq1723	4697
seq1724	4633
seq1725	4688
seq1726	4717
seq1727	4712
seq1728	4701
seq1729	4668
seq1730	4700
seq1731	4696
seq1732	4699
seq1733	4700
seq1734	4695
seq1735	4720
seq1736	4697
seq1737	4751
seq1738	4622
seq1739	4708
seq1740	4669
seq1741	4651
seq1742	4710
seq1743	4649
seq1744	4704
seq1745	4698
seq1746	4790
seq1747	4703
seq1748	4687
seq1749	4691
seq1750	4758
seq1751	4674
seq1752	4684
seq1753	4692
seq1754	4711
seq1755	4768
seq1756	4700
seq1757	4709
seq1758	4690
seq1759	4683
seq1760	4683
seq1761	4703
seq1762	4705
seq1763	4688
seq1764	4695
seq1765	4680
seq1766	4695
seq1767	4692
seq1768	4681
seq1769	4704
seq1770	4692
seq1771	4687
seq1772	4687
seq1773	4680
seq1774	4704
seq1775	4627
seq1776	4694
seq1777	4677
seq1778	4606
seq1779	4704
seq1780	4665
seq1781	4689
seq1782	4675
seq1783	4678
seq1784	4670
seq1785	4676
seq1786	4651
seq1787	4689
seq1788	4662
seq1789	4676
seq1790	4664
seq1791	4674
seq1792	4641
seq1793	4664
seq1794	4615
seq1795	4676
seq1796	4613
seq1797	4665
seq1798	4663
seq1799	4660
seq1800	4744
seq1801	4661
seq1802	4664
seq1803	4680
seq1804	4665
seq1805	4609
seq1806	4650
seq1807	4591
seq1808	4609
seq1809	4615
seq1810	4658
seq1811	4695
seq1812	4686
seq1813	4655
seq1814	4669
seq1815	4657
seq1816	4597
seq1817	4635
seq1818	4653
seq1819	4657
seq1820	4654
seq1821	4623
seq1822	4658
seq1823	4717
seq1824	4654
seq1825	4669
seq1826	4595
seq1827	4671
