Geneid	A05-12-1	A05-12-2	A05-12-3	A05-16-2	A05-16-3	A05-16
Glyma.01G027967	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G028033	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G028100	1.268	1.296	1.281	2.380	2.125	2.603
Glyma.01G028200	4.159	3.542	4.172	0.523	0.888	0.717
Glyma.01G028300	0.000	0.018	0.000	0.000	0.000	0.000
Glyma.01G028400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G028500	0.365	0.356	0.578	0.558	0.460	0.621
Glyma.01G028600	6.446	6.604	6.278	0.746	0.738	0.868
Glyma.01G028700	4.562	4.723	4.366	8.556	7.124	8.550
Glyma.01G028800	5.776	5.285	5.389	4.430	7.120	3.901
Glyma.01G028900	27.439	27.678	26.824	11.188	10.290	9.857
Glyma.01G029000	7.630	7.758	8.038	7.779	6.065	8.925
Glyma.01G029100	7.668	7.792	8.213	9.418	8.681	10.292
Glyma.01G029200	60.649	60.692	61.774	41.594	46.370	43.166
Glyma.01G029250	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G029300	0.200	0.245	0.144	0.488	0.427	0.262
Glyma.01G029400	3.506	3.286	3.701	8.422	7.275	7.210
Glyma.01G029500	3.417	3.069	3.920	6.225	5.963	6.584
Glyma.01G029600	11.594	12.759	11.779	11.569	11.874	10.701
Glyma.01G029700	0.786	0.720	0.606	3.008	1.949	2.833
Glyma.01G029800	29.247	32.622	30.108	23.722	24.510	22.319
Glyma.01G029900	0.030	0.000	0.013	0.057	0.027	0.059
Glyma.01G030000	3.569	2.615	3.517	0.083	0.146	0.255
Glyma.01G030200	0.000	0.000	0.000	0.000	0.008	0.000
Glyma.01G030300	2.526	2.548	2.349	1.301	1.504	1.883
Glyma.01G030400	1.873	1.994	1.818	8.132	6.925	9.142
Glyma.01G030500	12.242	11.116	13.365	10.437	9.136	10.032
Glyma.01G030600	8.111	9.791	8.801	11.765	12.077	12.677
Glyma.01G030800	10.948	12.065	11.539	18.781	16.035	17.890
Glyma.01G030900	9.355	9.637	9.286	0.747	0.772	0.889
Glyma.01G031000	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G031300	0.285	0.212	0.295	0.032	0.000	0.065
Glyma.01G031400	9.938	9.814	9.036	15.170	13.941	15.798
Glyma.01G031500	3.501	3.659	3.444	2.641	2.488	2.648
Glyma.01G031700	31.744	30.958	33.399	14.708	11.552	13.358
Glyma.01G031800	1.153	1.116	1.118	4.557	5.155	4.786
Glyma.01G031900	2.073	2.090	1.661	2.770	2.337	2.839
Glyma.01G032000	2.171	2.355	1.722	0.065	0.161	0.184
Glyma.01G032100	4.807	4.532	4.747	3.923	3.234	4.174
Glyma.01G032200	0.273	0.412	0.283	0.348	0.130	0.189
