Geneid	log2(fc)	pvalue	FDR
Glyma.02G140500	2.33880191345176	0.0134349971504382	0.0515013984754083
Glyma.02G140600	-1.60090404459018	0.202627288331641	0.41298752579394
Glyma.02G140700	1.02522597628817	0.0972187652731488	0.244901438516485
Glyma.02G140800	0.585985084372395	0.195029303439465	0.401888122570157
Glyma.02G140900	0.652872397190681	0.111885625829694	0.272366634645484
Glyma.02G141000	-1.36833359053824	0.0306794849555241	0.100707897875551
Glyma.02G141101	1.34823937200321	0.0874670426278619	0.225547405394177
Glyma.02G141400	0.341973041112845	0.34030639137434	0.580022738426486
Glyma.02G141500	-0.382082250669759	0.746904069952358	0.892896945044407
Glyma.02G141600	1.61302017571099	0.000995212152379497	0.00567798065392673
Glyma.02G141700	1.40873545457332	0.0032415336035618	0.0156057936039651
Glyma.02G141800	-0.783818439344135	0.274841761871824	0.501723428653262
Glyma.02G141900	-4.48112668973662	0.149560117302053	0.333540550963832
Glyma.02G142300	-0.120187561009549	0.921955381508314	0.989080533192532
Glyma.02G142500	1.74773402676645	0.000461456977507304	0.00287733133652587
Glyma.02G142600	1.59808993470677	0.00159076984133997	0.00846636536227382
Glyma.02G142700	0.396369621915005	0.271361440523498	0.500846919191387
Glyma.02G142800	-0.282306138542499	0.871312366113128	0.961668454547368
Glyma.02G142900	0.903138460747411	0.206668680470706	0.418934571882381
Glyma.02G143000	0.327702060372375	0.327167183117466	0.565061737973284
Glyma.02G143100	-0.940285426553523	0.165986740138028	0.358998126132667
Glyma.02G143200	2.57789350958002	5.2343543102381e-06	5.36161484926566e-05
Glyma.02G143300	-1.75998535076125	0.00500367117454326	0.0225472888279494
Glyma.02G143400	1.55895471140486	0.00154968453085322	0.00832501480755555
Glyma.02G143500	1.40754534561685	0.00561124213026661	0.0249282582453834
Glyma.02G143700	0.42127599682621	0.251170241893107	0.47993335824843
Glyma.02G144000	0.284218288834123	0.369810533559074	0.61080773945552
Glyma.02G144100	-0.532755408024461	0.542528271177042	0.751124485083314
Glyma.02G144200	0.49682360742429	0.194977957398454	0.401870619094239
Glyma.02G144267	-0.748230171446401	0.314582559822716	0.550097993452851
Glyma.02G144333	-1.3535245382792	0.0408847696832285	0.127571554489041
Glyma.02G144400	0.846649223093204	0.0559043860707206	0.161766265152203
Glyma.02G144500	0.581072913780832	0.146685424890053	0.33306167410018
Glyma.02G144600	-0.213480453614043	0.979190212122993	1
Glyma.02G144700	-0.306536216218369	0.839957913684391	0.945219613312337
Glyma.02G144800	1.29726604065309	0.0877448150255328	0.225768777784858
Glyma.02G144900	-0.232789463932534	0.951475042034167	1
Glyma.02G145000	0.489766850621395	0.230988572557148	0.453406234658459
Glyma.02G145100	0.766113909373922	0.0754951536189362	0.204020848916031
Glyma.02G145200	-1.11898209625492	0.0876488898451083	0.225768777784858
Glyma.02G145300	-0.299780635962774	0.84787412040102	0.948863642162643
Glyma.02G145400	-0.833790689963115	0.259280947003397	0.490898670563271
